City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Akhmim,EG,26.5622,31.745,86.2,37,0,14.32,clear sky
1,Karwar,IN,14.8,74.1333,77.59,87,98,2.21,overcast clouds
2,Hithadhoo,MV,-0.6,73.0833,82.56,68,100,17.74,overcast clouds
3,Hofn,IS,64.2539,-15.2082,42.82,56,90,11.5,overcast clouds
4,Bathsheba,BB,13.2167,-59.5167,88.41,66,75,12.66,broken clouds
5,Pevek,RU,69.7008,170.3133,27.95,82,100,9.6,overcast clouds
6,Cidreira,BR,-30.1811,-50.2056,66.13,75,31,10.22,scattered clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,56,0,32.21,clear sky
8,Yambio,SS,4.5721,28.3955,67.24,96,95,3.94,overcast clouds
9,Hasaki,JP,35.7333,140.8333,70.29,74,100,16.93,overcast clouds
10,Tiznit,MA,29.5833,-9.5,67.08,61,0,5.79,clear sky
11,Vaini,TO,-21.2,-175.2,68.16,77,20,10.36,few clouds
12,Isfana,KG,39.8386,69.5306,50.56,23,0,2.33,clear sky
13,Laguna,US,38.421,-121.4238,96.64,35,1,4.0,clear sky
14,Kyabe,TD,9.4515,18.9449,74.7,91,47,2.42,scattered clouds
15,Isangel,VU,-19.55,169.2667,68.11,77,100,3.44,overcast clouds
16,Ahuimanu,US,21.4447,-157.8378,79.45,87,90,13.8,light rain
17,Saldanha,ZA,-33.0117,17.9442,59.05,88,68,7.27,broken clouds
18,Kodiak,US,57.79,-152.4072,43.3,45,5,13.24,clear sky
19,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,0,3.44,clear sky
20,Sorong,ID,-0.8833,131.25,76.35,88,100,7.07,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,48.47,72,18,11.32,few clouds
22,Antofagasta,CL,-23.65,-70.4,61.88,60,0,5.95,clear sky
23,Rikitea,PF,-23.1203,-134.9692,73.96,80,100,21.47,overcast clouds
24,Thompson,CA,55.7435,-97.8558,44.76,87,90,9.22,mist
25,Busselton,AU,-33.65,115.3333,47.05,76,15,13.98,few clouds
26,Ribeira Grande,PT,38.5167,-28.7,72.0,73,40,14.97,scattered clouds
27,Ushuaia,AR,-54.8,-68.3,53.22,62,75,13.8,light rain
28,Padang,ID,-0.9492,100.3543,75.25,93,95,3.31,light rain
29,Hobart,AU,-42.8794,147.3294,39.06,77,15,4.0,light rain
30,Khatanga,RU,71.9667,102.5,30.69,90,55,5.99,broken clouds
31,Atuona,PF,-9.8,-139.0333,77.49,77,16,18.03,few clouds
32,Oranjemund,NA,-28.55,16.4333,57.83,80,42,8.21,scattered clouds
33,Yellowknife,CA,62.456,-114.3525,45.41,94,75,8.99,broken clouds
34,Namibe,AO,-15.1961,12.1522,66.79,90,96,9.64,overcast clouds
35,Mantua,IT,45.1667,10.7833,70.84,73,0,2.91,clear sky
36,Hermanus,ZA,-34.4187,19.2345,58.89,87,21,1.88,few clouds
37,Castro,BR,-24.7911,-50.0119,79.2,39,100,4.7,overcast clouds
38,Saurimo,AO,-9.6608,20.3916,78.28,31,87,4.27,overcast clouds
