City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Akhmim,EG,86.2,clear sky,26.5622,31.745,برج الماسة السكني
1,Karwar,IN,77.59,overcast clouds,14.8,74.1333,Netalco Connects
2,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
4,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
6,Cidreira,BR,66.13,scattered clouds,-30.1811,-50.2056,Hotel Castelo
7,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
8,Yambio,SS,67.24,overcast clouds,4.5721,28.3955,Naivasha Hotel
9,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
11,Vaini,TO,68.16,few clouds,-21.2,-175.2,Keleti Beach Resort
12,Isfana,KG,50.56,clear sky,39.8386,69.5306,Sayakat
15,Isangel,VU,68.11,overcast clouds,-19.55,169.2667,Tanna Lodge
16,Ahuimanu,US,79.45,light rain,21.4447,-157.8378,Paradise Bay Resort
17,Saldanha,ZA,59.05,broken clouds,-33.0117,17.9442,Blue Bay Lodge
19,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,39 On Nile Guest House
20,Sorong,ID,76.35,overcast clouds,-0.8833,131.25,waigo splash hotel
22,Antofagasta,CL,61.88,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
23,Rikitea,PF,73.96,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
27,Ushuaia,AR,53.22,light rain,-54.8,-68.3,Albatros Hotel
28,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
31,Atuona,PF,77.49,few clouds,-9.8,-139.0333,Villa Enata
34,Namibe,AO,66.79,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
35,Mantua,IT,70.84,clear sky,45.1667,10.7833,Hotel la Favorita
36,Hermanus,ZA,58.89,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
37,Castro,BR,79.2,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
38,Saurimo,AO,78.28,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
39,Punta Arenas,CL,57.31,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
41,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
42,Cotonou,BJ,80.58,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
44,Upata,VE,86.31,broken clouds,8.0086,-62.3989,Posada Villa Nela
45,Virar,IN,82.49,scattered clouds,19.4667,72.8,Go Firne
46,Hilo,US,80.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
48,Chuy,UY,61.79,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
51,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
53,Airai,TL,57.04,scattered clouds,-8.9266,125.4092,Juvinal Martin
55,Prince George,CA,56.64,few clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
56,Carballo,ES,66.07,light rain,43.213,-8.691,Pazo do Souto
59,Payo,ID,73.69,scattered clouds,-3.7508,103.6372,Mess keban agung
60,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Salta,AR,77.59,clear sky,-24.7859,-65.4117,Hotel Alejandro I
64,Sesheke,ZM,73.31,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
65,Jesup,US,82.04,clear sky,31.6074,-81.8854,Western Motel
66,Port Hardy,CA,55.58,scattered clouds,50.6996,-127.4199,Airport Inn
67,Yining,CN,75.99,clear sky,29.0361,114.5636,Xiushui Hotel
69,Lorengau,PG,81.39,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
71,Chandur Bazar,IN,77.09,overcast clouds,21.2417,77.7456,Shri Tirupati Agro Agency
72,Wanning,CN,79.07,overcast clouds,18.8003,110.3967,Paradise Hotel
73,Byron Bay,AU,60.87,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
74,Souillac,MU,72.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
77,Alta Floresta,BR,89.42,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
79,Olavarria,AR,66.02,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
80,Majene,ID,75.36,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
82,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
87,Hervey Bay,AU,64.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
88,Huarmey,PE,68.86,scattered clouds,-10.0681,-78.1522,Hotel Miramar
89,Cape Town,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
90,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Punto de encuentro
91,Mandalgovi,MN,57.11,overcast clouds,45.7625,106.2708,В.Ганбат
92,Kerrville,US,84.45,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
93,Butaritari,KI,83.48,few clouds,3.0707,172.7902,Isles Sunset Lodge
94,Nemuro,JP,52.3,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
95,Jamestown,US,67.17,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
96,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Rocha,UY,60.19,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
98,Katsuura,JP,74.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
99,Katsina,NG,84.45,scattered clouds,12.9894,7.6006,Katsina Motel
100,Pulaski,US,83.32,overcast clouds,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
102,Mizdah,LY,80.92,few clouds,31.4451,12.9801,محمدالمبروك الاريقط
104,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
105,Calbuco,CL,70.81,scattered clouds,-41.768,-73.1273,Hotel Colonial
107,Kawalu,ID,71.4,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
108,Ponta Do Sol,PT,74.03,scattered clouds,32.6667,-17.1,Hotel do Campo
109,Condado,CU,88.63,light rain,21.8767,-79.8403,Casa Guachinango
110,Coihaique,CL,63.21,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
112,Fukue,JP,73.9,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
113,Kavieng,PG,82.2,few clouds,-2.5744,150.7967,Nusa Island Retreat
114,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
115,Wuwei,CN,65.41,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
116,Lagoa,PT,70.18,overcast clouds,39.05,-27.9833,Casa Das Faias
117,Pisco,PE,65.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
120,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
121,Broome,US,67.69,broken clouds,42.2506,-75.833,Chenango Valley State Park
123,Havelock,US,78.03,scattered clouds,34.8791,-76.9013,Sherwood Motel
126,Warkworth,NZ,54.41,clear sky,-36.4,174.6667,Bridge House Lodge Bar & Restaurant
127,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
128,Asyut,EG,84.38,clear sky,27.181,31.1837,Florence Hotel Assiut
129,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
